Material,WorkFxn,mag_moment,Bandgap,lat_const,C11,C12,Y2D,G,K,v,V_l,V_s,V_m,T_D
Ba2Cr2Cl6,1.708378,8.714,0.1965,6.908,32.3,21.69,17.73,5.3,27,0.67,3.69,1.49,1.96,260.7
Ba2Mn2F6,1.79723,5.46,0.5112,5.836,40.52,13.35,36.12,13.58,26.93,0.33,3.8,2.2,2.69,424.31
Ba2Ti2Cl6,1.868425,4.648,0.4935,7.253,11.56,11.07,0.96,0.25,11.31,0.96,2.33,0.34,0.48,60.29
Ba2Mn2Br6,1.908017,8.065,0.1615,7.225,34.53,18.75,24.35,7.89,26.64,0.54,3.3,1.58,2.01,256.11
Sr2Mn2Br6,1.982117,8.398,0.2552,7.155,26.28,21.51,8.67,2.38,23.89,0.82,3.03,0.91,1.24,158.85
BaNiCl3,2.014044,1.051,0.7718,6.715,14.47,1.55,14.3,6.46,8.01,0.11,3.35,2.24,2.63,255.22
Ba2V2Cl6,2.051915,4.34,0.2517,7.013,24.11,18.43,10.02,2.84,21.27,0.76,3.24,1.11,1.49,195.05
Ba2Fe2F6,2.071828,2.471,1.305,5.831,33.36,3.91,32.9,14.73,18.63,0.12,3.44,2.28,2.69,424.44
Ba2Ti2Br6,2.124089,4.738,0.2804,7.964,8.61,5.22,5.44,1.69,6.91,0.61,1.83,0.81,1.05,121.26
BaPbF3,2.135703,0.35,0.5407,5.358,44.52,9.63,42.43,17.44,27.07,0.22,4.07,2.55,3.06,371.06
SrNiCl3,2.14172,1.076,0.3172,6.578,29,-7.2,27.21,18.1,10.9,-0.25,5.09,4.02,4.46,441.09
BaNiBr3,2.151413,1.026,0.6962,7.11,5,3.19,2.96,0.9,4.1,0.64,1.74,0.74,0.96,88.05
Ba2V2Br6,2.163344,6.717,0.7821,7.578,17.18,11.32,9.72,2.93,14.25,0.66,2.45,1.01,1.32,160.6
Ba2Cr2Br6,2.217217,8.898,0.4619,7.434,22.85,12.82,15.65,5.01,17.83,0.56,2.77,1.3,1.66,205.61
Ba2Mn2I6,2.231895,8.075,0.0277,8.032,20.6,9.99,15.76,5.31,15.3,0.48,2.46,1.25,1.57,180.25
Ba2Nb2Cl6,2.296963,3.475,0.2067,7.472,12.38,10.24,3.92,1.07,11.31,0.83,2.31,0.68,0.92,113.75
SrPbF3,2.327726,0.366,0.4829,5.127,136.39,-34.58,127.62,85.48,50.9,-0.25,7.29,5.77,6.4,811.74
Ba2Mo2O6,2.346976,3.405,0.2194,5.971,66.32,21.49,59.36,22.42,43.9,0.32,4.68,2.72,3.33,512.6
Ce2Mn2I6,2.38783,3.387,0.2069,5.721,222.41,25.87,219.4,98.27,124.14,0.12,5.74,3.82,4.49,722.64
SrNiBr3,2.492653,1.248,0.1929,6.96,13.79,-8.46,8.61,11.13,2.67,-0.61,3,2.7,2.84,265.3
CaPbF3,2.496043,0.418,0.4418,4.966,74.74,-14.43,71.96,44.59,30.16,-0.19,5.62,4.34,4.86,636.32
BaSnF3,2.528131,0.353,0.1603,5.38,61.14,14.82,57.54,23.16,37.98,0.24,5.43,3.34,4.02,486.52
SrSnF3,2.616823,0.348,0.5193,5.144,149.98,-30.96,143.59,90.47,59.51,-0.21,8.86,6.89,7.69,972.33
SrNiI3,2.63959,1.145,0.179,7.501,14.15,-4.96,12.42,9.56,4.6,-0.35,2.81,2.31,2.52,218.53
CePbBr3,2.646926,1.987,0.4996,6.522,14.16,6.53,11.14,3.81,10.34,0.46,2.31,1.2,1.51,150.23
SrVI3,2.669745,2.794,0.2709,7.807,9.57,1.62,9.29,3.97,5.6,0.17,2.42,1.56,1.85,154.43
BaMnCl3,2.683704,4.536,0.3381,6.656,8.48,-6.99,2.72,7.74,0.74,-0.82,2.56,2.45,2.5,244.47
SrPbBr3,2.705092,0.307,0.4963,6.878,8.28,-5.62,4.47,6.95,1.33,-0.68,1.96,1.79,1.87,176.62
Sr2Mo2O6,2.722893,3.406,0.2207,5.846,47.49,10.87,45,18.31,29.18,0.23,4.27,2.65,3.19,501.74
BaMoI3,2.726627,1.227,0.6361,7.431,1.49,1.47,0.03,0.01,1.48,0.99,0.84,0.06,0.09,7.59
SrSnI3,2.735815,0.028,0.106,7.811,7.77,5.49,3.88,1.14,6.63,0.71,2.05,0.78,1.04,86.33
SrTiBr3,2.74116,1.865,0.3456,7.542,11.36,-0.04,11.36,5.7,5.66,0,3,2.12,2.45,211.3
Ba2Fe2Br6,2.766466,2.313,1.359,7.141,32.04,22.51,16.22,4.76,27.28,0.7,3.14,1.21,1.6,205.56
CaSnF3,2.782907,0.418,0.4744,4.978,68.73,-7.55,67.9,38.14,30.59,-0.11,6.41,4.78,5.42,708.14
CeFeS3,2.785169,1.677,0.1876,5.799,22.69,18.38,7.8,2.15,20.53,0.81,3.69,1.14,1.54,172.38
BaWI3,2.804057,3.86,0.5599,7.789,5.4,3.78,2.76,0.81,4.59,0.7,1.56,0.6,0.8,66.57
SrCrO3,2.820744,1.698,0.503,5.595,10.79,-0.22,10.78,5.5,5.28,-0.02,3.06,2.19,2.52,292.72
SrFeCl3,2.839393,0.293,0.4975,6.389,9.79,-4.28,7.93,7.03,2.76,-0.44,2.89,2.45,2.64,268.88
SrSnBr3,2.841267,0.293,0.5159,6.895,8.39,-2.03,7.9,5.21,3.18,-0.24,2.16,1.7,1.89,178.33
SrMnBr3,2.844047,1.206,0.3467,6.852,10.03,-0.34,10.02,5.19,4.84,-0.03,2.53,1.82,2.09,198.65
BaCrO3,2.845326,1.732,0.49,5.815,27.78,21.13,11.71,3.33,24.46,0.76,4.54,1.57,2.1,234.99
CeMnS3,2.845645,2.393,0.3001,5.895,8.91,4.25,6.88,2.33,6.58,0.48,2.35,1.2,1.52,167.16
SrFeF3,2.847192,3.495,0.0886,5.135,121.76,-38.39,109.66,80.08,41.69,-0.32,9.14,7.41,8.14,1031.08
CeMnSe3,2.870003,4.544,0.1324,6.193,7.34,5.24,3.61,1.05,6.29,0.71,1.84,0.7,0.92,96.96
SrMoI3,2.870911,0.876,0.0986,7.339,13.11,-8.55,7.53,10.83,2.28,-0.65,2.55,2.32,2.43,215.33
SrTiF3,2.878651,2.074,0.4787,5.08,52.71,6.96,51.8,22.88,29.84,0.13,6.07,4,4.72,604.68
CeCoS3,2.879652,2.2,0.2023,5.778,14.88,9.04,9.39,2.92,11.96,0.61,2.96,1.31,1.7,191.04
SrTiCl3,2.88366,2.075,0.1583,6.402,24.86,7.18,22.79,8.84,16.02,0.29,4.69,2.79,3.39,344.9
CaVBr3,2.887041,2.805,0.3196,7.127,12.96,1.73,12.73,5.61,7.34,0.13,3.22,2.12,2.5,228.58
Sr2Cr2Br6,2.887188,5.381,0.1943,7.344,13.33,8.92,7.37,2.21,11.13,0.67,2.22,0.9,1.18,148.41
BaCrBr3,2.891762,4.295,1.2628,7.162,37.08,28.1,15.78,4.49,32.59,0.76,4.81,1.67,2.23,202.88
CaPbBr3,2.910419,0.383,0.7575,6.924,7.64,3.32,6.2,2.16,5.48,0.43,1.98,1.05,1.31,123.49
Ba2W2O6,2.920028,1.834,0.3079,6.001,61.54,26.51,50.12,17.52,44.02,0.43,3.96,2.11,2.63,403.66
SrVCl3,2.929954,2.924,0.5254,6.796,12.34,-6.92,8.46,9.63,2.71,-0.56,3.48,3.08,3.26,312.14
CeCoSe3,2.931215,2.39,0.1544,6.078,58.75,46.26,22.32,6.24,52.51,0.79,5.09,1.66,2.23,238.99
SrPbI3,2.93159,0.179,0.2701,7.856,7.61,5.79,3.2,0.91,6.7,0.76,1.9,0.66,0.88,72.85
